一	0x4e00	py:yī/yí/yì,Cant:jat1,JOn:ichi itsu,JKun:hitotsu hitotabi hajime,Hangul:일,KoRom:il,Viet:nhất,wb:ggll,zm:a,sn:1,rd:一,st:1	en:one; a, an; alone	
丁	0x4e01	py:dīng/zhēng,Cant:ding1/zaang1/zang1,JOn:tei chou tou,JKun:hinoto ataru yoboro,Hangul:정,KoRom:ceng,Viet:đinh,wb:sgh,zm:ai,sn:2,rd:一,st:12	en:male adult; robust, vigorous; 4th heavenly stem	
丂	0x4e02	py:kǎo/qiǎo/yú,JOn:kou,JKun:samatagerareru,KoRom:kyo,wb:gnv,zm:azvv,sn:2,rd:一,st:15	en:obstruction of breath (qi) as it seeks release; variant of other characters	
七	0x4e03	py:qī/qí,Cant:cat1,JOn:shichi shitsu,JKun:nanatsu nanatabi,Hangul:칠,KoRom:chil,Viet:thất,wb:agn,zm:hd,sn:2,rd:一,st:15	en:seven	
丄	0x4e04	py:shàng/shǎng,JOn:shou,JKun:ue kami,KoRom:sang,wb:hgd,zm:iavv,sn:2,rd:一,st:21	en:above	
丅	0x4e05	py:xià,Cant:ti1,JOn:ka,JKun:shimo,KoRom:ha,wb:ghk,zm:aivv,sn:2,rd:一,st:12	en:under, underneath, below; down; inferior; bring down; used to transliterate the Latin letter 'T'	
丆	0x4e06	wb:myen,zm:gaa,sn:2,rd:一,st:13	en:kwukyel	
万	0x4e07	py:wàn/mò,Cant:maan6/mak6,JOn:man ban,JKun:yorozu,Hangul:만,KoRom:man mwuk,Viet:vạn,wb:dnv,zm:aym,sn:3,rd:一,st:153	en:ten thousand; innumerable	
丈	0x4e08	py:zhàng,Cant:zoeng6,JOn:jou chou,JKun:take dake,Hangul:장,KoRom:cang,Viet:trượng,wb:dyi,zm:aos,sn:3,rd:一,st:134	en:unit of length equal 3.3 meters; gentleman, man, husband	
三	0x4e09	py:sān/sàn,Cant:saam1/saam3,JOn:san,JKun:mitsu mitabi,Hangul:삼,KoRom:sam,Viet:tam,wb:dggg,zm:cd,sn:3,rd:一,st:111	en:three	
上	0x4e0a	py:shàng/shǎng,Cant:soeng5/soeng6,JOn:jou shou,JKun:ue kami noboru,Hangul:상,KoRom:sang,Viet:thượng,wb:hhgg,zm:i/ida,sn:3,rd:一,st:211	en:top; superior, highest; go up, send up	
下	0x4e0b	py:xià,Cant:haa5/haa6,JOn:ka ge,JKun:shita shimo moto,Hangul:하,KoRom:ha,Viet:hạ,wb:ghi,zm:aid,sn:3,rd:一,st:124	en:under, underneath, below; down; inferior; bring down	
丌	0x4e0c	py:jī/qí,Cant:gei1,JOn:ki gi,JKun:sono sore dai,KoRom:ki,wb:gjk,zm:and,sn:3,rd:一,st:132	en:table	
不	0x4e0d	py:bù/fǒu/fōu/fū,Cant:bat1/fau2,JOn:fu bu futsu hi,JKun:sezu niarazu inaya,Hangul:부 불,KoRom:pwu pwul,Viet:bất,wb:gii,zm:gi,sn:4,rd:一,st:1324	en:no, not; un-; negative prefix	
与	0x4e0e	py:yǔ/yù/yú,Cant:jyu4/jyu5/jyu6,JOn:yo,JKun:ataeru kumisuru tomoni,KoRom:ye,Viet:dữ,wb:gngd,zm:aza,sn:3,rd:一,st:151	en:and; with; to; for; give, grant	
丏	0x4e0f	py:miǎn,Cant:min5,JOn:ben men,JKun:mienu,KoRom:myen,wb:ghnn,zm:aizy,sn:4,rd:一,st:1255	en:parapet; invisible	
丐	0x4e10	py:gài,Cant:koi3,JOn:kai katsu,JKun:kou,KoRom:kal kay,Viet:cái,wb:ghnv,zm:aiz,sn:4,rd:一,st:1215	en:beggar; beg; give	
